entry,defid,word,author,definition,example,thumbs_up,thumbs_down
aarup,5443023,Aarup,zattera,The best town in the world.,"hey dude have you been to aarup yet?
no, but i should its awesome",7,2
aaron fletcher,4489876,Aaron fletcher,The Future Mrs. Fletcher,"The most amazing man in the world.
Born in 1982, and has been amazing ever since!
He's kind, and wonderful, and will do anything for you, well, for me.
He's loving and amazing and wants to marry me!!
He is so gorgeous and beautiful, inside and out!!
He takes care of me, and treats me like a princess, and put up with all my crap, and loves me so so so much!","""That guy Aaron Fletcher is so amazing. You'd be lucky to marry a guy like that.. Oh wait, I AM marrying a guy like that.. I'm marrying THAT guy!!!""",6,17
aabd,7286379,AABD,ΔиłĦ☼иצ ß€₡ʞ,"acronym for ""Arrested Adolescence, Bail Denied"" / a chronic case of arrested adolescence",Many of the top comedians have full-blown AABD.,151,28
aav,1163096,AAV,President of the VAA,"Abbreviation for the Ameican Association of Volunteers.  A fraudulent organization founded by a has-been, never will be again Pulaski County native voluntter who refuses to donate money to the jr. achievement Bowl-a-thon.  An organization that cares more about watching 'Gleaming the Cube' then they do about helping others.  They have been known to withold mileage reimbursement money from dedicated volunteers.",The AAV is not recognized as a legitimate service organization.,2,12
aaaaaahhhhhhhhh,5752617,AAAAAAHHHHHHHHH,Rosie5,"a visual word to describe that moment when you wish to pull your hair out and scream loudly and imagine a screen shot of you that spins away above your head leaving you standing alone shouting AAAAAAAHHHHHHH in your current surrounding, anyone else around you is oblivious to you. (various spellings open to poetic licence) Open to similar visualisations, to convey frustration, and a sence of despair and loneliness, when things go wrong inspite of best laid plans. Or A sudden realisation of hoplessnes. It is a worse feeling than needing to use a expletive such as Sh+t, which is for somthing short sharp and painfull....","For eaxample you have the last screw to the flat pack you have spent hours putting together, and realise it does not fit where it is meant to, and where it is meant to go means unscrewing the whole lot and swapping it with the correct screw. As you realise the long screw you used first can not work in replacement for the short screw your left with..........AAAAAAHHHHHHHHHH.",5,2
aashna,5186846,Aashna,sparticus4244,"a Indian name that means a very beautiful, and intelligent person that is loved by all.",Aashna is so sweet,151,41
aashna,2510301,aashna,sejal,an urdu word meaning 'friendship' (i think!),its usually a name: eg. her name is Aashna,80,40
aashna,7959113,Aashna,XxXIndianPussySlayer95XxX,"A girl whos name will make you quiver in fear and have your nutsack fall off. Her mere presence will turn your boner into your dick being sucked inside your body and shrivelling into nothingness. Her gaze can induce nausea, vomiting, temporary blindness and can make some faint/blackout.","""That girl was a total Aashna, as soon as she entered the room all the guys left""",19,33
aahticles,4895761,aahticles,Hercolena Oliver,"Impressive articles, noteworthy",The aahticles are awesome.,0,2
aaron bernard,5796298,Aaron Bernard,FRESH MOTAHFUCKER,"THUG MONEY FOOL. this niggah right hur got no swagg. he needs lotion man, dis bitch's hand are like the sahara. he looks fresh with his hand me down sweatshirts with build in rims dawgg. he's got 3, SET FO LYFE. his basketball skills are pathetic. kid's got no talent. he got no set team, which evah 1 is winnin, thats who bernard is goin wit. AA battery is one emotional motherfucker. shit goes down when you mention his gay pride. lil wayne is his hero dawg he's obsessed with him, in a homosexual way. don't even get me started on his swaggarific walk. bugs bunny bernard.. tru g.","kid #1: yooo AAAAARON
aaron bernard: yo what up man.
kid #1: lets shoot some hoops.
aaron bernard: LegoooOOOoOooOOo0o0oo0o0o0o0o0o0o0 !",4,4
aaron dawson,4122993,Aaron Dawson,Murrmaid,"A really devoted boyfriend. One who is hot as hell and damn good in bed. Overall, he's a god.","""Holy shit, you're dating Aaron Dawson??? You lucky bitch.""",17,6
abdud-dayyaan,7891033,abdud-dayyaan,Temsik,"That guy who is great at games, watches anime, is an amazing friend. Doesn't have time for girls and he often spurns hugs from females.","Whoa, you beat Dragon Age Origins in a week? You must be an Abdud-Dayyaan!",1,0
apaang,2784446,apaang,Alairic,The beastility between Appa and Aang from the show Avatar the last airbender.,That Apaang shit is pretty freaky.,2,2
aashrit,6113477,aashrit,ally18,"a guy loves his college, freinds and family a lot. He works around the clock without even sipping a spoonful of water in between. But who cares about all this? He's a much warm hearted guy. Please don't mess with him when he's angry.",He is working so hard! He's such an Aashrit!,4,1
aafh,3759248,AAFH,Kidzlol,At a friend's house; used best in texting or IM situations.  Much laziness required.,"Carmen: I can't believe you do chain letters
Randy: my xbox is gone, nothing better to do
Carmen: RROD?
Randy: AAFH lol",3,2
aanna,7019460,Aanna,Number 1 Janaynay,The best person in the world. The funniest person you will ever meet. She makes a great cousin and you'll forget you're family and not best friends. She moves a lot when she laughs. She has braces and she rocks them. She has pretty long curly hair and she is tall. She is the prettiest girl you will ever meet. She makes the best nicknames up for people. She is loving and caring. She is the type of person only a few very fortunate people get to have in their life.,"Person 1: hey, have you seen Aanna?
Person 2: you lost your Aanna? You'll never be happy again.",4,5
aaaight,1223555,Aaaight,iiMa ThA bOmBdiiZlE,aaaight is another way to say alright,as in aaaight i can do that or else its aaaight dont woory you know,48,18
aaaight,1168840,Aaaight,Marcelo,'Aaaight' is one of those words you can always use to take advantage of your confused interlocutor. It might be particularly useful to hide your real intentions and escape from any kind of responsibility. It can also be used to add a little bit of flair or color to your phrases.,"Simon: ""Hey Tan, could you please stop sending e-mails on my behalf?""
Tan: ""Aaaight..!""",43,17
aargasm,3473678,aargasm,aargasm giver,noun - a man named aaron that is so good at sexing women that he gives them aargasms.,"ex - with aaron's face between her legs, she cried out, 'that feels so good you're giving me an aargasm'.",32,24
aargasm,6118788,aargasm,Indy RI,"The official Orgasm of Tampa Bay, FL","""Arrrr, I gave the wench a right vicious aargasm. Aye, she was shaking like she was stricken with the rickets. Arrrrr.""",2,1
aaric,3914410,Aaric,Dennis1337,"A tall, thin, white male between the ages of 18-23 with little to no muscle tone.","Me and my nigga was walkin' to the show when this pussy ass bitch came walking by us. My nigga looked at me and said, ""Damn! That mutha fucka Aaric!""",9,20
arggguggghhblaaaah,5603379,arggguggghhblaaaah,vegcitygal,"the sound one emits when afflicted with simultaneous anger, dismay, and boredom due to acute cubicle aversion syndrome.","I asked Jolene to change the copier toner, but all she said was ""arggguggghhblaaaah"".",4,0
aaron springhart,7511335,aaron springhart,TheHurleyDog,"Aaron Springhart is a male born July 17, 1992. He is from the genealogy line of old soul ancient gods. Also a known G in his time. Those that mean the most to him are his woman. $pring<3","Q) Aaron Springhart
A) Male First And Last Name",2,0
aaron complex,5832340,Aaron complex,nacixem,"When one has the illusion that they are [sexy], while in reality, they are the exact opposite.","*Guy walks into a bar*
Guy: Hey there, do you enjoy my sexiness?
Girl: Get the hell away from me.
Bartender: Sir, I think you're suffering from an Aaron complex.",1,6
al shabaab,5896560,Al Shabaab,Dancing with Fire,"An Islamic organization that controls much of southern Somalia, excluding the capital, Mogadishu. It has waged an insurgency against Somalia's transitional government and its Ethiopian supporters since 2006. Originally the militant wing of the Islamic Courts Union, the group that controlled Somalia prior to the country's invasion by Ethiopian forces, al-Shabaab leaders have claimed affiliation with al-Qaeda since 2007. Though most analysts believe al-Shabaab's organizational links to al-Qaeda are weak, in February 2008 the United States added the group to its list of foreign terrorist organizations.","Al Shabaab's strength has grown since then, but many experts say the withdrawal of Ethiopian forces from Somalia in January 2009 could diminish the group's basis for popular support. In what marked the group's first major attack outside of Somalia, al-Shabaab claimed responsibility for twin bombings that killed more than seventy people in Kampala, Uganda (NYT) during the World Cup final on July 11, 2010.",158,14
aaron burr,2021351,Aaron Burr,Mastro,"The asshole who killed the great Hamilton who created the foundation of the powerful economy in the United States. He also conspired against the nation hoping to build a Latin American empire to crush the United States. Additionally, he bad mouthed George Washington on many occasions because he was rejected by him.",Aaron Burr was a failed product of abortion,118,57
ahsaan,4661588,ahsaan,dudah24345623472564576,owner of 15GB of porn on his laptop,"omg, that guy has 45GB of porn, he is 3 ahsaans!",13,5
aarp,909954,AARP,Piranha,The voice of senile people!,"Oh, here goes the AARP defending seniles right to drive though they'll more than likely plow down people!",229,103
aarp,1271276,AARP,MYCRFT,"1)Well organized gang of shakedown artists running a protection racket, extorting usurious payoffs from honest businesses using the tactical codewords 'Senior's Discount'.  Using tactics not dissimilar to those of organized crime, differing only in its blatant daylight robbery nature and its quasi-legitimacy as an NGO.
2) The Political wing of the notorious Grey Panthers.","1)'Gimme my discount or the next issue of the AARP Newsletter will PUBLISH your sorry ass'
2)'I'm sorry, Mr. Pharmaceutical Company, but if I vote for tariffs on drug imports, the AARP will make sure that I can't get elected dogcatcher in this district'",90,34
aarp,1326856,AARP,Tony ramone,How old people get things cheaper.,I have my AAR- (gasp) MY HIP!!!,42,30
aarp,7467846,AARP,gentrifier,"An acronym for African American Retirement Planning. Sometimes used as a verb.
The practice of filing a (possibly specious but nonetheless prosecutable) discrimination suit against one's employer in order to pocket a hefty settlement.",Did you hear about Tennie Pierce? Dude got awarded $1.6 million dollars for some firehouse prank. LAFD just got AARPed.,9,4
aarp,2364815,AARP,Vandys Finest,"(v.) flirting or getting hit on by a person fifteen or more years, one's senior.
In reference to a female, aarping around. In reference to a male, aarping it up. The former carries a negative connotation.","Girl, why do grown old men keep trying to buy you drinks and get your number at the club? Quit aarping around!

Dude, I know you think your English teacher is hot, but quit aarping it up!",22,17
aarp,5419372,AARP,Sabadabas,The sound an old man makes sitting in a beanbag chair.,"Now, let me just sit dooown... AARP!",14,13
aarp,7413096,AARP,Batman6969696969,"The process of a group of inbred niggers going around and having forced intercourse (rape) with preferably unnaturally obese white bitches, who they murder later.","Hey my nigga, want to go AARP some crackers?",13,14
aarp,979638,AARP,Craig Bartal,The loud belches that old people tend to make involuntarily.,"That Pot Roast sure was good...

...AARP!",40,44
aarp,5193218,AARP,bnewtonf,To go slow,"Can't you get on that website?
No, my computer's gone all AARP on me. It's so slow.",4,12
aarp,1453203,aarp,marecare,"much like the association, aarp refers to an old guy. They typically don't realize that they're mid-life and pursue 20 something's like it's their job.","Eew that guy is straight up aarp, why would I ever talk to him.",9,20
aryaan,5007700,Aryaan,pikachu.pie,"a fabulous beyond your wildest dream kind of guy, Aryaan is a gorgeous person. Beneath all his truly breathtaking looks, is a caring, loving and strong guy. He's very intelligent and keep you laughing for years on end. He looks like a million dollars but his worth as a person is priceless. He's a very special person with an endless list of talents. His very lovable and very loved. He's sexy and charming at the same time and just gives light to every situation. He is an angel is a humans body.","Ananya: oh look its Aryaan... my God do i heart you!
Aryaan: thank you darling, oo la la :)",25,12
aiaaa,4166294,aiaaa,asiangirl7,"this is what vietnamease girls say when something is wrong, such as a groan, a sigh, ext.. i really dont understand why people make up such weird noises with their mouths. i mean was that not for the people in the early time. you know when we were monkeys. (if that is even true.)","aiaaa these math questions are WAY too easy. - tina dude! shut the fuck up with the aiaaa! - joe aiaaa im a girl not a dude, dumbo. - tina",9,3
aaron,2182029,Aaron,EK3,"In India ""Aaron"" is a slang word for pimp.","That why they call him Aaron, and you Homo.",9207,4329
aaron,4114974,Aaron,the_one&only,"Awesome, plain and simple. Considered by most to be almost godly in nature his dick is massive and his ability to pleasure women is legendary though only a few have experienced this righteous act of manlyness. They are known to be intellectual and breathtakingly handsome although shy at a first encounter. He has been hurt but due to his stubbornness he doesn't allow it to happen again. There was and will be only one. So don't fuck with an Aaron, ever, and make sure you don't misspell this work of arts name wrong, like Erin. That would be hazardous to your health.","[sexual beast][fantastic][awesome][the shit][wow]

Girl 1: Can you believe I met that amazing guy last night?

Girl 2: No, I wish Brandon was an Aaron.

Girl 1: I know, and you wouldn't believe what he can do in the bed. *smiles*

Girl 2: *Angerly nods in agreement*",5046,2564
aaron,3249904,Aaron,Iridiumflameee,"The name that really means ""My parents were too lazy to look past the first name in the book""... or, just a really cool guy in general. Best name ever.","Aaron: Hey, my parents were too lazy to actually look past the first name in the book""",5677,3658
aaron,4154108,aaron,1luckygirlWA,"an Aaron is the type of person who can always make you laugh but yet make you wonder why your even laughing. An aaron are males who are amazingly smart and attractive but not cocky about it. Aaron is a guy you can just stand near and be insanely happy because your close to him. Aarons are also great friends and lovers :) Aarons know no limits and live life to the fullest, which can sometimes mean drinking alot! An Aaron is the upmost amazing guy put on earth. So sweet, kind, funny, smart, hot, trustworthy, honest, and genuine person. Anyone who has an aaron in their life are so lucky and better never let them go. Oh they are also great kissers and have a freaking hot body!","Girl 1: Gosh I had the best time last night on my date! He was god's gift to earth

Girl 2: let me guess, you got an [aaron]?",2960,1293
aaron,3289380,Aaron,AaronLor,"A Smart, handsom, athletic guy. All around awesome guy.","Hey, theres Aaron. He's looking amazing.",4225,2591
aaron,4165067,Aaron,VenusGirl,"One of the most amazing people in the world. People named Aaron have an independent streak which makes them challenge the world. They are quiet and like their alone-time; however, they open up more and play around when their friends are around. People named Aaron are truly special. They can light up someone's world and the two of them can dance a dance of immense freedom. People named Aaron have curious minds that jump from idea to idea. (Each idea being spontaneous, crazy, and absurd.) They are usually shy to people they don't know, but shine when they are around people they are comfortable with. They are beautiful people, inside and out, who will go far in life with their determination and amazing sense of humour. People named Aaron are funny and can keep others entertained easily. They are easy to fall for and easy to make friends with. All in all, they are one of the most amazing people you will meet.",Aaron captivates you.,1678,659
aaron,3781907,aaron,pokey6,the hottest guy in the universe,"there goes aaron, the hottest guy in the universe.",2368,1345
aaron,3020126,Aaron,pimpstatusssssss,"the bestest friend in the whole fucking universe. he is not a homosexual, you dolt :) cheeeeaaaa :D",AARON Is super cool and sexyness,2386,1687
aaron,2795628,Aaron,Mattew Smith,Da most [sexyiest] n [smartest] guy in da world. Straight all da way. Awsome in everything,Aaron is so smart always cool.,3206,2648
aaron,5448534,Aaron,AmandaBarichello,"Aaron is the most beautifulest guy in the world. Anyone would adore him. Hes cute, funny, and knows how to make people laugh. When he smiles the whole room lights up. He's the kind of guy you wish you can cuddle with. His laugh is very contagious to others. Doesn't cry often. Around the skinny side. Aaron's like to tease people about certain personality traits. They usually get made fun of, but they just slack it off. They go for what they believe in and never stop trying. Love sports; very athletic. Very easy to listen to. An amazing guy in general. He only has one true love. He doesn't like to admit personal things in public. Aaron's can be a jerk at times, but they are always forgivable. They love to be involved in everything with everyone. They don't give hugs often; only to loved ones. To rap everything up, Aaron is a one of a kind guy. Anyone would love to have him.","Girl 1 - Hey look, its Aaron :).
Girl 2 - Isn't he just amazing!",575,212
ammaar,6573993,Ammaar,Anon64754,"Ammaar means sporty that means that someone's really good at football,cricket,rugby etc.",[Ammaar] will become sporty,10,0
aat,3038677,AAT,caseyjones,"Acronym for AT ALL TIMES
Pronounced, ""A. A. T.""","In our world, you need to wear mesh hats, AAT.
I'd like to get [boned] AAT.",7,2
aat,5350202,A.A.T,Adnamaamanda,Annoying American Teenagers.,"Eww,like look at those A.A.T s!!

They have no [dougie]",2,0
aahad,7412478,aahad,angry_bird,"means the One in arabic; its mean a guy that never talks, always suppresses his feelings. He shows a lot of feminine side and behave as a girl.",'Why wont u talk?? U such Aahad!!',4,6
aaptwak,4810253,Aaptwak,JahFire,"A synonym for weed,ganja,marijuana. Literally translates to monkey tobacco. Dutch/afrikaans slang for ganja.","Wow i smoked so much aaptwak last night!

What you got there little street child?
Some aaptwak,can i interest you in some?",0,0
aaron osteraasing,4390046,aaron osteraasing,jmsuperfly,"consistent, heinous, loud sounding fart operations by one individual.

when completing the movement, one must announce that the fart has taken place, or that one cannot stop farting. may contain both equal parts sulphur and methane, or a more potent bias towards sulphur. nexium will ease symptoms but not completely cure them.","""man i can't stop aaron osteraasing""",1,0
aamil,6092166,Aamil,Shake_that_biscuit,"Charming, lady-killing, eagle-eyed, full-of-charisma, honour and integrity-personifying, respected-by-one-and-all, winner of best entertainer St. Xavier's 2007 Awards, epitome-of-intellect and wisdom, man responsible for coining-of-words-like-awesomeness and fucking awesome awesomeness, admired by Pratima and her gang of other hot 50 year olds, more-humble-than-god but still god-like, Aamil was born on the 18th of November in a small village of Jamshedpur... and that's how the universe became a better place.

Never a believer of blowing his own trumpet, Aamil's achievements far surpass those of his colleagues. A blessing to lesser mortals all over the world, He is also the Winner of Best Smile, Santosh Beauty Pageant 2009. Co-Founder of the Sexy Times Club. Acclaimed writer, philosopher, actor, entrepreneur, visionary Director, visual jockey, national icon, Non-Sectarian Spiritual Leader, humanitarian, messiah of interesting conversations, philanthropist, Thespian, Observer, Believer, Bullshitter.","You're becoming full of Aamilness. It's like awesomeness but far far far more sophisticated.

- God to himself on a lazy Sunday night.",1,9
aaron squarepants,2660479,aaron squarepants,windy gardiner,deuce or a new cracked out version of spongebob,"aaron squarepants is such a deuce, and buckteeth... brady rox",2,9
aiaa,4824904,AIAA,AssholeGuy,"AIAA stands for 'Am I An Asshole'?

It was made popular through the humor website: AreYouAnAsshole.com",I broke my brother's computer today and blamed the dog - AIAA?,0,1
aarori,4651414,aarori,deesassy,an amazing and fabulous person who touches the lives of her COLORFUL friends with her sweet and gentle presence,i need to get me aarori ;p,4,1
aariz,3723310,aariz,Quary123,"Thin, tall, very good in bed. Affection towards animals. Mainly Panda Bears.",Aariz [loves panda],61,5
aaahhhhh!!!!!,4967601,AAAHHHHH!!!!!,Tonton510,"Just an expression of life.

The Embodiment of life",Just came from the strip club and decided it was AAAHHHHH!!!!!,7,6
aaron whetzel,6899278,Aaron whetzel,hard rock python :3,"A creep who breaks girls heart and doesn't know a good thing when it is in front of him. he has to pretend to be somthing else instead of letting a girl love him for him. he isn't going to find anyone like her ever again and he knows it. he think people are laughing with him but they are really laughing at him. Black people will never accept you,they only use you for cheap laughs. but you should have stood behind her. aaron's ever where dont let that special girl go, because she won't always want to help you, never ever love you again but never let her go if you have her. she all you really had in your sad life.","Joe: bruh, that Aaron Whetzel is a slow one.

Malika:man tell me about it, he think i want his ol'e cracka ass! ha, as if. Nigga could keep on dreamin.

Joe: Ikr, thou that boy is so funny to laugh at.

Malika:man he was talkin and all i could do was look down so i didn't laugh in his face!",3,3
aadd,3945334,aadd,philman14,Anti-Attention Deficit Disorder. AKA Adderall.,"Dude, I have 3 tests and a final this week. 5-Hour Energy won't cut it; do you have a source for AADD?",2,2
aaron white,7553481,Aaron White,minion<3,Truly great friend with a loving caring heart. Such a special person and many would be lost without him but not to his knowledge. He is friendly and always looking for the best in people can be dirty minded at times but is just truly amazing he touches hearts of everyone he meets and has gone through difficult times and opens up to people he trusts. Has a good humour only matched by his goodlooks and can always make people smile even when they are crying. Is trustworthy and caring. Any girl would be lucky to have him.,Aaron White He gets to know people before judging them<3,12,5
aaron white,3998810,aaron white,Todd Kobeluez,Gay homo faggot who loves to watch gay porn during his English and keyboarding classes. Loves to make farting noises from the mouth. Has a large Jew fro. Indeed is a Jew. loves penis. has a chode. has sexually intercourse with clay weeks. Takes 15 inches of meat down his trachea. Acts like a 10 year old. Ugly face. Miniature horses that came on him. Has constant bleeding from the anus.,Aaron White is infact all of the above and loves to give anal to Clay Weeks on the weekends.,21,37
aashik,6882781,Aashik,mrandh1,"a complete noob, not very intelligent, usually spends most of the time high and tends to communicate by asking ''what you saying?''",''who set the fire alarm off?'' ''oh it was probably Aashik again'',8,7
aamof,292779,AAMOF,shapeshifter,As A Matter Of Fact,"A: Did you see Matrix:Revolutions yet?
B: Yes, AAMOF, I saw it the day it came out.",68,14
aamof,2860658,AAMOF,JohnJacobJingleHimer Schmit,"As A Matter Of Fact.

AAMOFly - As A Matter Of Factly

Used when being a smart ass. Mostly used when txting or over the internet.","guy1: ""wow, no one has my name, lol""

guy2: ""I know 20 Brians AAMOF""

guy1: ""STFU fag""",5,13
aamof,2757727,AAMOF,Deathzilla7,"as a matter of fact

used for online gaming (specifically runescape cuz i made it up and thats wut i plays!)","dude 1: hey u wouldnt happen to have an abby whip for sale would u? ill buy 1.8m!!!!

dude 2: aamof i do! *trades*

dude 1: tyvvm!!!

dude 2: idiot they only worth 1.1m!",7,24
aaaaaah!,4061484,AAAAAAH!,kratos2010,"1.the way an annoying dude laughs in the movie theatre
2. a funny sound (not to be confused w/ AAAaaAAAaaAAA!","example 1.

guy at the movies: ""AAAAAAH!""

example 2.

guy moving: ""PIVOT!""
girl helping guy move: ""PIVOT! AAAAAAH!""",14,6
aaal,6998240,aaal,goatbull,"aaal is an acronym for the solstice and zenith

absence
axis
angular
loss",HAL can not find the aaal.,0,1
aarptard,5928989,Aarptard,Hefenator,"An elderly person who by decision or mental impediment refuses or is unable to keep up with the path of progress and technological advancement, insisting on doing things the ""good old way"" completely clueless to the inconvinience they are causing to others around them.","Dude, I would have been here earlier but I got stuck behind this Aarptard lady in the checkout line. She took 15 minutes to write and record a CHECK!!!

Damn, why doesn't this Aarptard get his old ass out of the left lane! He's doing 45!!

See also [aarping]",4,1
ahaaaaaaaaaa,4098271,Ahaaaaaaaaaa,Pum Pum Conqueror,"Something a Pum Pum would say, when he finds out something disturbing",AHAAAAAAAAAA Hassi said,2,3
a'shaa,4681211,A'shaa,oscarescoe,"He is the epitomy of Handsome and Charisma. One who captures your attention without trying. The best, the most perfect gift to women.","Oh my god that's so A'shaa

That painting is A'shaa",0,4
aabefact,6883439,Aabefact,iMillie,A word or name coined deliberately to feature on the first page of any dictionary or listing.,Yellow Pages is packed with companies whose names are nothing but aabefacts.,2,0
ainaa,5238637,Ainaa,qiz,A bisexual beardy old man who loves peanuts.,You're such an Ainaa why are you such an Ainaa??!!!!!!,4,10
aania,4447059,Aania,Gina Gershan,A hot schizophrenic pot-smoking female assassin.,"MAN, you heard wrong, mike wasn't killed by Yakuza because Yakuza never hires Aanias!",8,0
aardfarqler,2357399,aardfarqler,aardfarqler,Is someone with an anally retentive personality who will go crazy trying to find the definition of the term 'aardfarqler',My son Jamie is an aardfarqler.,11,8
amaa,5169457,AMAA,Seanzly,Ask Me Almost Anything.,"I am a kindergarten teacher who is extremely attracted to my youngest student, AMAA!",38,9
a chuggaaconroy,6461092,A Chuggaaconroy,Chugga's #1 fan,It's when during sex you begin commentating without warning making your partner uncomfortable,"I enjoyed giving my girlfriend A Chuggaaconroy last night.

if you do not know who Chuggaaconroy is go on youtube and find out",15,5
aarbear,5867713,Aarbear,Krissycakes,"The most amazing guy ever<3
maybe even a little more amazing then me(:","I wish I had an Aarbear:/
oh wait i do(:",12,3
aath,6162201,AATH,CaptainTim,"Short for ""it's all about the hookers""
Used in text messaging when a public figure (corporate master of the universe, politician, entertainer) gets caught either paying for sex directly or having an affair that would not have happened if they were not extremely rich.

Alternative Definitions include promoting working conditions very close to slavery.","Sending a link to a story like this with a tag AATH
Republican New Jersey Mayor Caught Up In ‘Rentboy’ Scandal",7,0
aamp,2008709,aamp,hotblooded,Apartment Asian Massage Parlor.  Massage done in apartment as apposed to a retail massage parlor.,I had a great time at the aamp.,86,17
aamp,7913637,aamp,Rubmaps,"Apartment asian massage parlor. AAMPS, as they are commonly known, are most typically found in large apartment complexes, although some can be found in hotels. Part of the service consists of a body massage, typically 20 minutes, generally given during the first part of the hour. The women are are all Asian, in ages ranging roughly 21-30. They either come from Asia or are residents in North American countries. If the latter, they often come from Los Angeles, San Francisco Bay Area, or Vancouver. Area with high local Asian populations. A very small percentage of the women work in apartments rented or owned by the companies for whom they work. In the latter case, apartments are changed frequently, particularly in areas where adult massage is illegal.",I need to find my happy ending at an aamp.,19,7
aaron stanford,2010927,Aaron Stanford,Adrian,Pyro in the X-men trilogy,Aaron Stanford played Pyro in the X-men movie trilogy.,17,20
alyaan,6935489,Alyaan,chicks4u,"A complete jerk sometimes, but actually really sweet. Mostly short, sometimes acts stupid, but actually knows what he's doing. Alyaans call other people fobs, but doesn't realize how much they are on their own. Chicks just love him!","Mariapia: Awww...he's so adorable!
Gabriella: Right! He's such an Alyaan!",5,3
aaaa principle,3739485,aaaa principle,William&Elaine'sBakedGoods,"all asians are alike

physically: their faces, eyes, lips, hair, noses, bodies(really strong, or frail)

hobbies: break dancing, having crazy hair, being smart and good at anythign they want, being communist

style: punk or nerdy, brands(polo, juicy, abercrombie)","Daniel: oh man i like your girl friend, you've been dating forever

Bennet: only like a week

Daniel: oh well you know the aaaa principle",6,7
aadhish,2773400,aadhish,appu,a gangsta cool dudde,damn he's mad aadhish : ],7,5
angry aaron,3643424,angry aaron,D-Boy Taylor,"When you are just about to finish, you headbutt the girl then cum all over her face",Last night i tried the angry aaron,16,5
aaron jauregui,5559773,Aaron Jauregui,audreymayne,"A really good looking guy who is mixed he's Puerto Rican, Italian, Mexican & White. He's in a really popular group at school and his parents are loaded. He drives a Range Rover. He's a Senior year of 2011. He wants to be a plastic surgeon or dentist. The kid has a good head on his shoulders. He has great style, a girlfriend a guys are envious of at school, has a hot body, and a amazing personality but cocky at times. He's a MySpace celebrity he has over 40,000 friends on his friends list.",He looks a lot like a mix of Brody Jenner & Pauly D of Jersey Shore. He's Aaron Jauregui :D,132,39
aarti,3566061,AARTI,big graceful,An amazing person. Someone who understands you and cares about your feelings. Someone who enjoys having a good time and loves to mingle with friends. Just someone you want to be around.,"This girl is so cool. She's such an aarti.

Clothes aren't sexy, people like aarti are.

Excuse me is your last name aarti cuz ur the best a woman can get.

5 letter word for an amazing person. AARTI!",131,87
aarti,7533296,Aarti,Azsd,"Aarti's are super awesome girls. Their talented, gorgeous, intelligent, great listeners, caring, and the most loving. If you have an Aarti in your life keep her! She'll always be there got you no matter how bad the situation is. She's extremely cool and could cook up a storm. Best friend you will ever have and is ver straight up. Tells you like it is and loves to go out and party! Very kind at heart and passionate!",[Aarti],40,7
aarti,2893113,Aarti,UltraCool,"Towards the highest love for god

A Hindu Ritual in which A light wick is offered to God ""Aa"" means towards and ""rati"" means ""highest love for God""

Meaning is from the Sankrit language. Aarti is also the name for a Hindu ceremony performed in which lights made from camphor soaked wicks are offered to one or more deities two or three times daily. It is also the name for the devotional song that is sung during this ritual.","Her name is Aarti, she is very pretty and intelligent.",95,70
aarti,2052231,Aarti,Jattt,"Someone who is just gorgeous, AMAZING and special.",Aarti is just AMAZING!,88,77
aarti,1405876,Aarti,Carl Reyes,Means to be disorganized.  Be out of control.,"Don't be so Aarti, get your days straight.  

You room is so Aarti",119,118
aarti,2048225,Aarti,Jattt,"Someone is just gorgeous, AMAZING and special",Aarti is just AMAZING!,61,71
aarti,2050171,Aarti,Jattt,"Someone who is just gorgeous, AMAZING and special.",Aarti is just AMAZING!,55,73
aaaaa,1008896,AAAAA,Eric Brown,American Association for the Abolition of Acronyms and Abbreviations,I'm a card-carrying member of the AAAAA!,312,82
aaaaa,1115672,AAAAA,Cunjo,American Association Against Acronym Abuse,AAAAA? isn't that kinda [oxymoron]ic?,84,46
aaaaa,2101841,A-A-A-A-A,verocious,"The sophomore-specific yell, or Wildcat, at Texas A&M University.",Hey pissheads!  A-A-A-A-A!,11,10
aaaaa,1008896,AAAAA,Eric Brown,American Association for the Abolition of Acronyms and Abbreviations,I'm a card-carrying member of the AAAAA!,312,82
aaaaa,1115672,AAAAA,Cunjo,American Association Against Acronym Abuse,AAAAA? isn't that kinda [oxymoron]ic?,84,46
aaaaa,2101841,A-A-A-A-A,verocious,"The sophomore-specific yell, or Wildcat, at Texas A&M University.",Hey pissheads!  A-A-A-A-A!,11,10
aashmita,6135841,Aashmita,Zash Hale,"Hot sexy chick ...
Loves to be with friends
Very social
pretty
cute
charming
""TOTTA""

ACTUAL MEANING: purest of the pure!","she's aashmita.

OMG! look at that girl!!! An AASHMITA!!!",0,0
ashkaan,5809573,ashkaan,urmomshomee,a really cool persian kid who is good at soccer and is just an overall cool person and dont forget hes persian,"man i wish i was as cool as ashkaan
look at ashkaan, hes so good at soccer",8,10
aaida,3927451,Aaida,BoobyTr4p,"The misspelling of Aida, usually made by parents who are so excited that they had a baby girl (or boy) that they accidentally add an extra ""a"" in the beginning.",We spelled her name Aaida instead of Aida by accident on the birth certificate.,10,7
aaron mckay,4874335,Aaron McKay,effinawesome,"The most awesome person that the world could ever possibly hold. Usually found in an awesome location making people around him appear more awesome-er than they actually are, similar to a car mirror makeing object appear closer than they are.","WOW, that guy is an Aaron McKay",16,7
